living area,number of floors,Built Year,Price,bedrooms,bathrooms
3090,1.0,1968,384900,5,2.5
1970,1.0,1960,379950,4,1.75
1571,3.0,2008,366750,3,3.0
1120,1.5,1962,340000,5,1.0
1160,2.0,2001,340000,2,1.5
1140,1.5,1949,329950,2,1.0
2370,2.0,1998,328000,4,2.5
2310,2.0,2006,309950,4,2.75
1880,2.0,1994,309950,3,2.5
1050,1.0,1986,300000,3,2.0
1450,1.0,1953,287000,3,1.0
1550,1.0,1958,249950,3,2.0
1920,1.0,1984,245000,3,1.75
1200,1.0,1958,232000,2,1.0
1240,1.0,1971,220000,4,1.5
1120,1.0,1969,219900,4,1.5
1340,1.0,1953,210000,3,1.0
2050,1.0,1956,210000,5,2.0
810,1.0,1944,206000,2,1.0
1490,1.0,1962,184000,3,1.75
4510,2.0,1969,1870000,5,4.0
4490,2.0,2013,1800000,5,5.0
3760,1.5,1950,1580000,4,3.25
3490,2.0,1928,1230000,4,2.25
3370,1.0,1970,1140000,4,2.75
2200,2.0,2008,1050000,3,2.5
2690,3.0,2014,979000,3,2.5
3020,2.0,1954,910000,3,3.5
3740,2.0,2000,860000,4,2.0
3040,2.0,2008,776000,4,2.5
3880,2.0,1987,762300,4,2.5
2290,2.0,1988,736000,4,2.5
3200,2.0,1998,725126,4,2.5
3030,2.0,1999,685000,4,2.5
930,1.0,1951,675000,2,1.0
3380,2.0,2000,655500,4,3.5
1630,1.0,1940,650000,3,1.5
3480,2.0,1983,650000,5,3.5
2060,1.0,1949,612500,4,2.0
2450,1.0,1967,610000,4,3.0
2150,2.0,1985,609000,4,2.5
2110,2.0,1987,606000,4,2.5
2260,2.0,1977,599000,4,2.25
3569,2.0,2013,580000,4,3.25
2130,1.0,1954,575000,3,1.75
3100,2.0,1996,563000,4,3.0
3040,2.0,1984,562000,5,2.25
2000,2.0,1916,561000,3,2.0
1850,2.0,1991,535000,3,2.5
1800,1.5,1926,533000,5,2.75
2910,1.0,1964,530000,5,2.5
2970,1.0,1995,525000,3,2.5
2460,2.0,1980,520000,3,2.5
1430,1.0,1956,518000,3,1.5
1790,2.0,1989,515000,3,2.5
2000,2.0,1996,513000,4,2.5
1480,3.0,2006,500000,3,2.5
1170,1.0,1903,499000,2,1.75
2020,1.5,1938,488000,5,2.0
1420,1.5,1905,485000,3,2.0
1660,1.0,1942,484000,2,1.75
2740,2.0,1995,483500,4,2.5
3470,1.5,1924,475000,6,3.0
1030,1.0,1924,469000,2,1.0
1970,1.0,1967,465000,3,2.25
1230,2.0,2004,460000,2,2.25
2240,1.0,1978,455000,5,2.5
1100,1.5,1912,450000,2,2.0
1520,1.0,1967,425000,4,2.0
2810,1.0,1958,407000,4,2.25
1840,1.0,1958,404000,4,1.75
1440,1.0,1971,397000,4,2.0
1260,1.0,1966,390000,3,1.75
2890,1.0,2006,390000,5,3.75
1230,1.0,1962,387000,3,1.0
1900,1.0,1982,385000,3,1.75
1500,1.0,1955,379900,4,1.75
1270,3.0,2006,369950,3,2.0
1410,1.0,1961,367500,3,1.5
1310,1.0,1950,365000,3,1.5
1640,1.0,1963,362000,3,2.25
2680,1.0,1965,360000,4,2.0
1350,1.0,1947,353000,3,1.0
2331,2.0,2007,345000,4,2.5
1110,1.0,1956,345000,3,1.0
720,1.0,1942,329350,2,1.0
1890,1.0,1980,325000,4,2.5
1510,1.0,1940,313950,3,1.0
1300,1.0,1950,312000,4,2.0
1980,1.0,1974,295000,3,2.25
2000,2.0,2003,284000,4,2.5
1630,1.0,1971,280000,3,1.75
1580,1.0,1962,279900,3,1.75
1650,2.0,1998,272000,3,2.5
1050,1.0,1954,250000,3,1.0
1490,1.0,1975,234000,3,1.75
900,1.0,1952,219000,2,1.0
1850,1.0,1979,218000,3,1.75
1690,1.0,1976,197000,3,1.75
800,1.0,1959,191000,3,1.5
1010,1.0,1954,175000,3,1.0
1420,1.0,1962,136500,3,1.5
780,1.0,1942,78000,2,1.0
6210,2.5,1910,3200000,7,4.5
4270,2.0,2007,1530000,5,4.5
3560,2.5,1914,1500000,6,2.5
2960,2.0,1937,1340000,3,3.0
4460,2.0,2001,1150000,4,4.0
2310,1.0,1950,1110000,4,1.5
3900,2.0,2006,1040000,4,3.5
1890,1.0,1963,940000,4,2.25
4130,2.0,1985,900000,5,3.75
2210,1.0,1954,794154,4,2.0
2540,1.5,1905,775000,3,2.0
2410,1.0,1956,758000,4,2.75
2520,1.0,1946,750000,3,2.75
2600,2.0,1949,749950,4,2.75
2650,1.5,1905,705000,4,2.5
1760,1.0,1942,690000,3,2.0
1680,1.0,1959,675000,3,1.75
3680,2.0,1990,675000,4,4.0
3240,2.0,1991,651000,3,2.5
2270,2.0,2002,640000,3,3.0
2680,2.0,1995,630000,3,2.5
2550,1.0,2011,630000,2,2.25
2030,2.0,1988,618080,3,2.5
1680,3.0,2014,610950,3,3.0
2460,1.0,1977,600000,3,2.5
3830,2.5,1938,599999,9,4.5
1960,1.0,1920,599000,3,1.75
2510,1.0,1961,581000,4,2.0
1650,1.0,1955,575000,4,2.0
2350,1.5,1929,568000,3,2.0
4120,2.0,1994,560000,3,3.0
1860,1.0,1985,560000,3,2.0
3700,2.0,1948,540000,7,5.75
2720,1.5,1988,535000,3,1.75
2280,2.0,2006,535000,3,2.5
1340,1.0,1910,530000,3,1.0
1550,1.5,1900,526000,2,2.0
1170,3.0,2014,519950,3,2.25
1580,1.0,1967,515000,3,1.75
2430,2.0,2003,510000,4,2.5
1540,1.0,1980,503000,3,2.75
1010,1.5,1906,500000,2,1.0
1940,1.0,1987,500000,3,2.5
990,1.0,1943,495000,3,1.0
2656,2.0,2014,495000,4,2.75
3305,1.5,1922,492000,4,2.5
1610,1.0,1917,485000,3,2.0
2180,1.0,1968,480500,4,2.5
820,1.0,1921,475000,2,1.0
1760,2.0,1985,460000,3,2.0
1500,1.0,1947,440000,3,1.75
1350,1.0,2003,428000,2,2.0
1150,3.0,2008,425000,2,2.5
1040,1.5,1904,420000,2,1.5
1770,2.0,1977,420000,3,2.25
1606,3.0,2009,417250,3,2.25
1830,2.0,1991,415000,4,3.0
2140,1.0,1968,409500,4,2.75
1660,1.0,1961,405000,3,2.25
3000,1.0,1958,380000,5,1.75
1640,1.0,1978,379500,2,1.0
1830,2.0,1990,375000,3,2.5
2410,1.0,2008,365000,5,2.75
820,1.0,1944,361280,2,1.0
2420,1.0,1978,352000,5,2.5
1010,1.0,1981,350000,3,1.0
1630,2.0,1985,339950,3,2.25
820,3.0,2006,339950,2,1.0
1570,1.0,1952,335000,3,2.0
1040,1.0,1968,314950,3,1.0
1870,1.0,1957,314500,3,1.75
2190,1.0,1967,313000,3,1.75
1840,1.0,1974,310000,3,1.75
2070,1.0,1973,310000,3,1.75
1600,2.0,2013,305450,3,2.5
760,1.0,1913,300000,2,1.0
1600,2.0,2000,280000,3,2.5
1600,2.0,1993,275000,3,2.5
1500,1.0,1920,265000,5,1.5
2060,1.0,1962,255000,5,2.25
1250,1.0,1994,253000,3,1.75
1100,1.0,1947,250000,1,1.0
1110,1.0,1952,249000,3,1.0
1720,1.0,1960,248500,4,1.75
1400,1.0,1944,246000,3,1.0
1260,2.0,2005,245000,3,1.5
1410,1.0,1985,239900,3,2.0
1920,2.0,1988,230000,3,2.5
1640,1.0,1988,226500,3,1.75
1380,1.0,1960,209950,3,1.5
1490,1.0,1969,185000,4,1.0
1040,1.0,1912,160000,2,1.0
910,1.0,1956,100000,2,1.0
3510,2.5,1906,1750000,6,3.0
2430,1.0,1952,1500000,3,1.75
2800,1.5,1932,1310000,5,3.25
3820,2.0,1990,1250000,4,3.25
2920,1.0,1964,1050000,4,3.0
3410,2.0,1910,1040000,4,1.0
2015,2.0,2007,988500,3,2.75
3160,1.0,1971,980000,5,2.5
2640,2.0,1912,930000,3,3.25
2920,3.0,2008,868500,3,2.5
1910,1.5,1941,835000,4,2.0
3040,1.0,1968,830000,5,3.0
3010,2.0,2011,785000,3,2.75
2480,1.0,1950,780000,4,1.75
2660,2.0,2003,753888,4,2.5
1690,1.5,1928,719000,3,2.5
3290,2.0,2002,716500,4,2.5
1250,1.5,1900,712000,3,1.0
1320,1.5,1918,660000,3,1.75
2060,1.0,1947,647500,4,1.75
1230,1.5,1925,636000,2,1.75
1540,1.0,1946,615000,2,1.0
1750,2.0,1991,595000,3,2.5
3160,2.0,1993,589900,2,3.0
2250,2.0,1980,569000,4,2.25
1870,1.0,2006,559950,2,2.0
1360,2.0,1997,553650,2,2.5
1780,2.0,1988,545000,3,2.25
2820,1.5,1940,543200,6,2.25
1840,1.0,1967,538000,4,1.75
2550,2.0,2005,537500,4,2.5
2280,2.0,2004,535000,4,2.5
1670,1.0,1967,533000,3,1.0
1980,1.0,1973,530000,3,1.75
2280,1.5,1930,530000,4,2.75
2430,1.0,1974,524000,3,2.25
1060,1.0,1926,515000,2,1.0
1410,3.0,2012,500000,3,1.75
1110,2.0,2005,499000,2,1.5
2310,2.0,2011,494000,3,2.5
2440,1.5,1975,489990,5,2.25
1510,1.0,1954,450000,3,2.0
1020,3.0,2008,441750,2,1.5
980,2.0,2010,438000,2,1.0
1310,1.0,1976,437000,3,1.75
1460,1.0,1979,424500,3,1.75
1540,3.0,2008,413450,3,2.5
1020,1.0,1948,405000,2,1.0
2090,2.0,2012,403000,3,2.75
1960,1.0,1977,402000,3,2.5
1890,1.0,1944,385000,3,1.75
3206,2.0,2012,375000,6,2.25
960,2.0,1993,358000,2,1.5
2250,1.0,1940,350000,4,1.75
1590,1.0,1988,349000,3,1.75
2460,2.0,1989,347500,4,2.5
2240,1.5,1980,335000,3,1.5
1550,1.5,1972,330000,2,2.0
2320,2.0,2004,325900,4,2.5
860,2.0,2007,321950,2,1.25
1890,1.0,1966,307000,3,1.75
1240,1.0,1967,297950,3,2.0
2200,1.0,1973,295000,2,1.75
1920,2.0,1993,295000,3,2.5
1810,2.0,1994,270000,4,2.5
1940,1.0,1989,266000,3,2.5
2020,2.0,2002,262000,4,2.5
2130,1.0,1962,260000,4,1.5
1730,1.0,1977,258000,4,1.75
1390,1.0,1975,246000,3,1.75
1260,1.0,1955,245000,3,1.5
1270,1.0,1923,235000,2,1.0
950,1.0,1939,230000,3,1.75
1390,1.0,1960,230000,3,1.0
1190,2.0,2002,229000,3,2.5
2000,1.0,1965,228000,4,1.75
2100,1.0,1959,211000,4,1.0
1490,1.0,1954,207000,3,1.0
720,1.0,1955,205000,2,1.0
980,2.0,1922,134000,2,1.5
520,1.0,1951,82500,2,1.0
3000,1.5,2001,2400000,3,2.25
7270,2.0,2010,2240000,5,6.5
5190,2.0,1987,1700000,5,4.5
3720,1.0,1962,1370000,4,2.75
5860,2.0,1996,1160000,4,4.25
4230,2.0,1989,985000,4,2.25
3750,2.0,1976,920000,4,3.0
3560,2.0,1987,851000,3,2.5
3810,1.0,2013,839900,4,3.5
3780,2.0,1999,833000,4,2.75
3540,2.0,2007,800000,4,3.25
2830,2.0,1979,782000,4,2.5
2730,2.0,2006,769900,4,3.5
2790,2.0,1996,765000,4,2.75
2950,1.5,2006,759000,3,2.25
3100,2.0,1919,742500,4,2.75
2200,1.0,2007,705000,2,2.5
2480,1.0,1976,610000,3,3.0
2260,2.0,1989,604000,4,2.5
2430,1.0,1993,590000,4,2.25
2400,2.0,1982,585000,4,3.25
2660,2.0,2001,583000,4,2.5
2840,2.0,1998,580000,4,2.5
1660,1.0,1980,566000,3,2.25
2470,2.0,1984,565000,4,2.25
2840,2.0,2012,557000,4,2.5
2330,2.0,1978,542500,4,2.5
2000,1.5,1926,536500,4,1.75
1300,1.5,1925,536000,3,1.75
3480,1.0,1976,532000,5,3.0
2030,2.0,1991,525000,3,2.5
1400,1.0,1963,511555,3,2.0
2100,2.0,1999,505000,3,2.5
1750,1.0,1987,491300,3,1.75
1840,1.5,1910,490000,2,1.0
1410,1.0,1940,481450,3,2.0
1930,1.0,1968,465000,4,2.5
1150,1.0,1905,463000,2,1.0
1750,1.5,1926,460000,4,1.75
1650,1.0,1959,445000,4,2.0
1150,1.0,1940,445000,2,2.0
2170,1.0,1960,431000,4,2.25
1620,1.5,1911,428750,3,1.0
3060,2.0,1992,415000,4,2.25
2600,2.0,1988,402500,4,2.5
1445,2.0,2003,387000,3,2.25
1410,3.0,2005,382000,3,3.25
1340,3.0,2008,376000,3,2.0
1420,1.0,1956,360000,2,1.0
1640,1.0,1972,352000,3,2.25
1780,1.0,1979,336900,3,1.75
1940,2.0,2003,330000,4,2.5
1352,3.0,2007,325000,3,2.25
1470,1.0,1976,325000,4,1.5
998,2.0,2007,324000,3,2.25
1970,1.0,1977,323000,4,2.75
2310,2.0,1980,320000,4,2.25
2320,1.0,1956,315000,5,1.75
1930,1.0,1984,312000,4,2.25
2130,1.0,1977,311100,4,2.25
1060,1.0,1973,303500,3,1.5
2000,1.0,1968,290000,4,2.5
1390,1.0,1912,280950,3,1.75
2190,1.0,1977,280000,4,2.0
1390,1.0,1922,275000,3,1.5
1500,1.0,1953,270000,3,1.5
1690,1.0,1969,270000,3,2.0
1920,1.0,1969,260000,3,2.0
1420,1.0,1963,260000,3,2.5
960,1.0,1984,255000,2,1.0
810,1.0,1928,255000,2,1.0
1850,2.0,2003,254000,3,2.5
1030,1.0,1947,252500,3,1.0
1220,1.0,1962,251000,3,1.75
2163,2.0,2006,248000,4,3.0
1360,1.0,1977,234950,3,1.0
2000,2.0,1992,225000,3,2.5
1430,1.5,1983,224500,4,1.0
1020,2.0,2004,212000,2,1.5
1160,1.0,1959,201500,3,1.0
720,1.0,1950,195000,2,1.0
2520,1.0,1921,875000,4,2.0
3060,1.0,1979,549900,5,2.75
1350,3.0,2006,394950,3,2.5
2130,2.0,2003,320000,3,2.5
1940,1.0,1962,265000,4,1.0
2160,2.5,1902,842500,4,2.5
1370,2.0,2007,368000,3,2.5
3650,1.0,1975,1580000,5,2.75
3380,1.0,1963,1350000,5,1.75
3460,2.0,2004,1320000,4,3.5
2330,2.0,1918,1300000,4,3.25
3490,2.0,2012,1260000,4,3.75
5420,1.0,2001,1230000,4,4.5
3070,1.0,1976,1230000,4,2.25
1560,1.5,1928,1200000,3,1.75
3720,2.0,1982,1080000,3,2.5
3280,2.0,2008,1050000,4,3.75
3270,2.0,2014,1030000,4,3.25
2920,1.0,1954,1020000,3,2.5
4530,1.5,2003,950000,5,3.0
3290,1.5,1968,947500,4,2.25
2980,1.5,1917,947500,3,2.75
3300,2.0,1953,927000,4,2.75
2700,1.0,1962,910000,3,2.0
4700,2.0,1978,900000,4,3.25
2830,2.0,1995,885000,4,2.5
2170,1.5,1928,876650,3,3.25
2350,1.5,1910,870300,4,2.5
2350,1.0,1961,850000,4,1.75
2600,1.5,1936,840000,4,2.75
4630,2.0,2006,809000,5,4.5
3680,2.0,2003,788000,4,3.25
1720,1.0,1954,770000,3,1.75
3110,2.0,2004,751000,4,2.5
2980,2.0,2000,750000,4,2.5
2620,2.0,1992,746000,3,2.5
2760,1.5,1928,734200,4,2.5
2670,2.0,1989,690000,4,2.5
2400,1.0,1964,675000,4,3.0
2550,1.0,1964,660000,4,2.5
3040,2.0,1999,647000,4,2.5
1570,3.0,2010,635000,3,2.5
1770,2.0,1911,630000,4,2.0
1620,1.0,1954,620000,3,1.5
2040,1.5,1919,615000,2,1.75
2110,1.5,1930,610000,4,3.0
2120,1.0,1951,582000,4,1.75
2560,1.0,1986,560000,3,2.0
2540,1.0,1990,540000,4,2.25
1800,1.0,1980,522000,4,2.25
1940,1.0,1922,505000,4,1.75
2780,1.0,1978,505000,4,2.5
1290,3.0,2007,500000,2,2.25
980,1.0,1941,499950,3,1.0
1230,2.0,2004,490000,2,2.5
2020,1.0,1956,465000,3,1.5
2010,2.0,2014,453246,3,2.5
1770,1.0,1959,450000,3,1.5
1480,3.0,2009,420000,2,2.5
2200,2.0,1987,410000,3,2.25
2160,2.0,2010,383000,4,2.5
2480,1.0,2004,372500,5,3.0
980,2.0,2009,369000,2,2.5
1280,1.0,1968,368000,3,1.0
1730,1.0,1943,360000,4,2.0
2380,2.0,1997,357000,4,2.5
910,1.5,1906,350000,2,1.0
1720,1.5,1952,341000,3,1.5
1080,1.0,1955,339000,3,1.0
1940,2.0,2004,335000,3,2.5
2100,1.0,2013,330000,5,3.0
1440,1.0,1951,315275,3,1.75
2180,2.0,1986,302000,5,2.25
830,2.0,2005,301500,2,1.5
1360,1.0,1975,300000,2,1.75
1830,1.0,1942,270000,3,1.0
1290,2.0,2008,265000,2,1.0
1220,1.0,1910,255000,2,1.0
810,1.0,1941,235000,1,1.0
990,1.0,1966,225000,3,1.0
1350,1.0,1941,211000,3,1.5
1040,2.0,2004,210000,3,2.5
1460,1.0,1969,201000,3,1.0
700,1.0,1953,192000,2,1.0
1370,1.0,1961,185000,3,1.5
970,1.0,1959,156000,3,1.0
1250,1.0,1945,110000,3,1.0
5300,2.0,1923,2560000,4,2.5
4430,2.0,2013,2450000,5,4.0
5030,2.0,2008,2450000,4,4.5
3120,2.0,1969,1900000,5,2.25
4860,2.0,1989,1680000,5,3.25
3370,1.0,1982,1550000,5,3.25
3530,2.0,2001,1400000,5,4.25
2740,2.0,1905,1110000,4,1.5
4400,2.0,2003,1050000,4,3.25
3490,2.0,2000,975000,4,2.5
3520,2.5,2006,870000,4,2.5
3560,1.0,1986,860000,4,2.5
3150,2.0,2013,819900,5,2.75
2890,2.5,1906,799200,6,3.0
2340,1.0,1967,780000,3,1.75
3610,2.0,2003,777000,3,3.25
1780,1.5,1927,771000,3,2.25
3190,2.0,2007,757000,3,3.25
1310,1.0,1956,717000,3,1.5
2030,2.0,1975,700000,3,2.5
3000,2.0,2006,675000,4,2.5
3410,1.0,1968,675000,5,3.0
1940,1.5,1944,665000,3,2.0
3400,2.0,2012,660000,4,3.5
2740,2.0,1993,651000,4,2.5
2210,2.0,2013,650000,4,2.5
1740,2.0,1975,645000,3,2.5
1950,1.0,1969,635000,4,1.75
2260,1.0,1958,628000,4,2.0
1810,2.0,2009,625000,3,3.5
1710,1.5,1909,620000,3,1.0
1680,1.0,1922,591000,3,1.75
2710,2.0,1977,591000,4,2.25
2090,1.0,1963,581000,4,1.75
2290,1.0,1964,580000,5,2.0
1580,1.0,1951,575000,3,1.75
1530,1.0,1937,570000,3,2.0
1440,2.0,1910,560000,3,1.0
2250,1.0,1956,550000,4,2.0
3440,2.0,1970,550000,7,4.0
1680,1.0,2006,530000,2,2.0
1690,1.0,1958,530000,3,1.75
2450,2.0,1994,525000,5,3.0
2876,2.0,2007,525000,3,3.5
1580,2.0,2008,525000,3,2.5
1240,1.0,1957,523000,3,1.5
2790,2.0,2009,505000,4,2.5
2040,2.0,2012,502000,4,2.5
3830,1.0,1976,480000,5,4.75
3740,1.0,2004,475000,4,2.5
1270,1.0,1950,465000,3,1.5
3400,1.0,1959,464000,5,2.5
2350,1.0,1977,460000,3,2.25
3360,2.0,2001,455000,4,2.5
1250,2.0,2010,450000,3,2.75
2450,1.0,1978,450000,3,2.25
1770,1.0,1954,449500,3,2.0
2140,2.0,2002,435000,4,2.25
1960,1.0,1911,415000,3,1.75
1410,1.0,1925,413000,4,1.0
2180,1.0,1956,405000,4,1.75
1480,1.0,1943,385000,3,2.0
1190,1.0,1953,375000,3,1.0
3001,2.0,2006,373000,5,2.5
1650,1.0,1951,370000,3,1.75
1490,3.0,2004,354901,3,2.5
2010,2.0,1977,350000,3,2.5
1090,1.0,1968,345000,3,1.75
1450,1.0,2007,330000,3,2.5
1350,1.0,1989,322500,3,2.0
1390,1.0,1968,319000,3,1.0
1090,1.0,1981,289000,3,1.0
1950,2.0,1990,287600,3,2.5
1490,1.0,1987,287000,3,2.25
1090,1.0,1973,285000,3,1.0
2180,1.0,1954,273000,4,1.5
2510,1.0,1972,267345,4,2.25
2020,1.0,1962,245000,5,1.75
1900,1.5,1942,239950,3,1.0
650,1.0,1931,230000,2,0.75
1250,1.0,1967,225000,3,1.5
1950,1.5,1939,225000,4,1.5
1040,1.0,1947,225000,3,1.0
1660,1.0,1963,225000,3,1.0
910,1.0,1943,155000,2,1.0
790,1.0,1973,90000,2,1.0
3260,1.0,1968,1880000,4,2.75
2550,2.0,1981,1400000,3,2.5
4910,1.5,2007,1220000,4,3.5
4470,2.0,1988,1120000,4,2.25
2290,1.0,1955,1060000,4,2.0
3810,2.0,2008,966000,5,4.5
2510,2.0,1972,955000,5,2.25
3320,2.0,1995,950000,4,2.5
3100,1.0,1954,930000,3,2.5
2190,2.5,1958,925000,4,2.5
2580,2.0,1986,802000,3,2.5
1700,1.5,1906,800000,3,1.0
2470,2.0,2007,773000,3,2.75
3030,1.5,1992,766950,3,2.5
5774,1.0,1984,740000,5,5.0
3430,2.0,2000,740000,4,2.5
2700,2.0,2004,723000,4,2.5
2060,1.0,1941,715000,4,2.25
3200,2.0,2004,707000,4,3.25
2360,2.0,1926,702500,3,1.5
1830,1.5,1903,682000,3,1.75
2470,2.0,1993,633100,4,2.5
1680,1.0,1966,625000,4,2.75
2540,2.0,1929,620000,5,2.5
2220,1.5,1923,607500,5,1.75
1159,1.0,1948,582500,2,1.5
2240,2.0,1989,565000,4,2.5
1830,1.0,1957,562000,3,1.5
2000,1.0,1921,546000,3,1.75
2090,1.0,1962,543000,3,2.5
2370,1.5,1992,543000,2,2.0
1900,1.0,1955,542000,4,1.75
1400,1.5,1904,538000,3,1.75
2450,1.0,1974,530000,4,2.75
1600,1.5,1924,525000,3,1.75
1820,2.0,2005,511000,3,2.5
2170,1.0,1986,510000,3,1.75
2090,1.5,1959,499000,3,2.0
2270,1.0,1973,498000,4,2.75
1850,1.5,1965,489200,3,2.75
2150,1.0,1978,486000,4,2.5
2310,2.0,1991,470000,4,2.5
1660,1.0,1940,458000,3,1.0
2910,2.0,1989,450000,3,2.5
2580,2.0,2008,437000,3,2.75
3040,2.0,1999,420000,4,2.5
840,1.0,1947,405100,2,1.0
980,1.0,1918,400000,2,1.0
830,1.0,1955,394475,2,1.0
1620,1.0,1947,385000,4,1.75
1690,2.0,2014,372977,3,2.5
1290,1.0,1951,372220,3,1.0
2010,1.0,1957,364000,4,1.75
2100,2.0,1980,356000,3,3.5
2257,1.0,2005,349950,5,3.0
2120,2.0,1984,345000,3,2.25
1970,2.0,1997,340000,3,2.25
1050,1.5,1906,339950,3,1.0
1700,1.0,1956,337500,5,2.0
2220,2.0,1990,325000,3,2.5
1840,2.0,2012,317000,3,2.5
2010,2.0,1995,316000,4,2.5
